s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
1842372.0,3433461.0,3035776.0,4354345.0,136292.0,278251.0,222780.0,317085.0,0.4390243887901306,75.0
1835872.0,3420182.0,3020543.0,4330833.0,134810.0,276001.0,221433.0,313725.0,0.4390243887901306,75.0
1839622.0,3428461.0,3030196.0,4349293.0,136665.0,278728.0,223080.0,316905.0,0.4390243887901306,75.0
1836259.0,3421972.0,3023095.0,4333888.0,135711.0,277520.0,222095.0,314815.0,0.4390243887901306,75.0
1836027.0,3419434.0,3019762.0,4329108.0,136325.0,277840.0,221934.0,314208.0,0.4685494303703308,75.0
1836027.0,3419434.0,3019762.0,4329108.0,136325.0,277840.0,221934.0,314208.0,0.4685494303703308,75.0
1836971.0,3420894.0,3022338.0,4332646.0,135937.0,278043.0,222689.0,315098.0,0.4685494303703308,75.0
1830167.0,3410449.0,3010144.0,4312325.0,134556.0,275786.0,221509.0,311171.0,0.501354992389679,75.0
1740933.0,3242003.0,2861273.0,4100410.0,129347.0,262913.0,209913.0,297290.0,0.4685494303703308,75.0
1826842.0,3402957.0,3001790.0,4297710.0,134758.0,274327.0,218360.0,309755.0,0.4390243887901306,75.0
1827845.0,3405809.0,3004718.0,4303560.0,135053.0,275368.0,219442.0,310522.0,0.4685494303703308,75.0
1830918.0,3412169.0,3012663.0,4316536.0,136104.0,275957.0,220678.0,312332.0,0.4685494303703308,75.0
1831098.0,3408548.0,3010128.0,4309628.0,135089.0,275945.0,221122.0,311576.0,0.4685494303703308,75.0
1831572.0,3411583.0,3013012.0,4316974.0,135305.0,276541.0,221004.0,313549.0,0.4390243887901306,75.0
1827840.0,3404994.0,3004068.0,4299558.0,134468.0,273878.0,219393.0,310518.0,0.4685494303703308,75.0
1831541.0,3410734.0,3009304.0,4310333.0,135552.0,275705.0,221068.0,312701.0,0.4685494303703308,75.0
1827980.0,3405246.0,3004218.0,4299375.0,135405.0,274838.0,220221.0,311523.0,0.4685494303703308,75.0
1826402.0,3404746.0,3003829.0,4295087.0,133843.0,275087.0,220758.0,310301.0,0.4685494303703308,75.0
1831860.0,3413320.0,3013078.0,4317240.0,135305.0,276804.0,221731.0,312721.0,0.4685494303703308,75.0
1829963.0,3409317.0,3007955.0,4305569.0,134887.0,276059.0,221574.0,311744.0,0.4685494303703308,75.0
1829791.0,3407570.0,3006019.0,4303388.0,134540.0,275609.0,220923.0,311419.0,0.4685494303703308,75.0
1827824.0,3405973.0,3005871.0,4301184.0,134380.0,273826.0,219673.0,311997.0,0.4390243887901306,75.0
1822333.0,3395331.0,2993784.0,4280951.0,134137.0,272862.0,218662.0,307821.0,0.501354992389679,75.0
1824775.0,3400537.0,3000771.0,4293232.0,134324.0,273195.0,219261.0,310176.0,0.4685494303703308,75.0
1826176.0,3401507.0,3000351.0,4294319.0,133461.0,274652.0,219200.0,309841.0,0.4390243887901306,75.0
1826176.0,3401507.0,3000351.0,4294319.0,133461.0,274652.0,219200.0,309841.0,0.4390243887901306,75.0
1825492.0,3401186.0,3000179.0,4293212.0,133700.0,274045.0,219634.0,311394.0,0.4390243887901306,75.0
1826398.0,3404455.0,3004603.0,4298883.0,133617.0,275102.0,221421.0,311161.0,0.4685494303703308,75.0
1822841.0,3397216.0,2996191.0,4285136.0,133671.0,274142.0,218968.0,309424.0,0.4390243887901306,75.0
1826461.0,3403617.0,3002561.0,4297208.0,133961.0,274692.0,219799.0,310023.0,0.4685494303703308,75.0
1824746.0,3400426.0,2999605.0,4291034.0,134046.0,274299.0,218386.0,309844.0,0.4390243887901306,75.0
1826591.0,3403456.0,3003977.0,4297261.0,134407.0,273912.0,219334.0,310565.0,0.4390243887901306,75.0
1831084.0,3411897.0,3013263.0,4316438.0,134472.0,275295.0,220754.0,312699.0,0.4390243887901306,75.0
1826769.0,3403200.0,3003127.0,4299117.0,133601.0,272721.0,219363.0,311341.0,0.4390243887901306,75.0
