s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2541051.0,4727516.0,4104969.0,6023551.0,491829.0,936841.0,740028.0,1107520.0,0.017543859779834747,58.0
2540977.0,4724693.0,4103877.0,6023052.0,492177.0,936942.0,738329.0,1106862.0,0.0,58.0
2540775.0,4725023.0,4104410.0,6021540.0,491666.0,936794.0,739000.0,1106017.0,0.0,58.0
2539296.0,4723201.0,4102079.0,6020205.0,491661.0,935868.0,737788.0,1105817.0,0.0,58.0
2537478.0,4720836.0,4099744.0,6015972.0,491321.0,936922.0,738158.0,1105071.0,0.0,58.0
2535963.0,4720269.0,4097652.0,6012280.0,489399.0,935531.0,736970.0,1102656.0,0.0,58.0
2536967.0,4719518.0,4098326.0,6013202.0,492018.0,935681.0,737163.0,1103787.0,0.017543859779834747,58.0
2537415.0,4720358.0,4099654.0,6015460.0,491148.0,935629.0,738283.0,1103745.0,0.017543859779834747,58.0
2533672.0,4716024.0,4094333.0,6007511.0,489958.0,933685.0,736574.0,1101747.0,0.017543859779834747,58.0
2535153.0,4715938.0,4095663.0,6009524.0,488938.0,932627.0,737428.0,1102034.0,0.017543859779834747,58.0
2535153.0,4715938.0,4095663.0,6009524.0,488938.0,932627.0,737428.0,1102034.0,0.017543859779834747,58.0
2407554.0,4479238.0,3890160.0,5708976.0,464879.0,886789.0,699584.0,1048090.0,0.0,58.0
2533718.0,4714055.0,4092424.0,6005676.0,489973.0,933052.0,735618.0,1101852.0,0.0,58.0
2532150.0,4712511.0,4090989.0,6001850.0,487801.0,932721.0,735526.0,1100729.0,0.0,58.0
2530795.0,4708919.0,4088145.0,5998292.0,488363.0,932799.0,734632.0,1099012.0,0.0,58.0
2537586.0,4721652.0,4100960.0,6017376.0,489789.0,933300.0,735842.0,1101338.0,0.017543859779834747,58.0
2539915.0,4728243.0,4107610.0,6030075.0,490704.0,934156.0,737818.0,1105579.0,0.017543859779834747,58.0
2540936.0,4727064.0,4106639.0,6028209.0,490801.0,935061.0,736738.0,1103942.0,0.0,58.0
2544715.0,4733161.0,4113890.0,6040336.0,490554.0,937114.0,739758.0,1107355.0,0.0,58.0
2544632.0,4732910.0,4113045.0,6037694.0,491623.0,936549.0,739321.0,1106394.0,0.017543859779834747,58.0
